,imdb_title_id,title,original_title,year,DATE,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,CPI_Multiplier,budget_adj,genre2,oscar,oscar2
191,tt0021749,Luci della città,City Lights,1931,1931,"Comedy, Drama, Romance",87,USA,English,Charles Chaplin,Charles Chaplin,Charles Chaplin Productions,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Charles Chaplin","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",8.5,162668,1500000,19181,$ 46008,99.0,295.0,122.0,18.198222543629083,27.297333815443626,Comedy,True,False
445,tt0027977,Tempi moderni,Modern Times,1936,1937,"Comedy, Drama, Family",87,USA,English,Charles Chaplin,Charles Chaplin,Charles Chaplin Productions,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Cecil Reynolds, Mira McKinney, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,8.5,211250,1500000,163577,$ 457688,96.0,307.0,115.0,19.232449313390912,28.84867397008637,Family,True,False
500,tt0029583,Biancaneve e i sette nani,Snow White and the Seven Dwarfs,1937,1938,"Animation, Family, Fantasy",83,USA,English,"William Cottrell, David Hand","Jacob Grimm, Wilhelm Grimm",Walt Disney Productions,"Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins, Pinto Colvig, Marion Darlington, Billy Gilbert, Otis Harlan, Lucille La Verne, James MacDonald, Scotty Mattraw, Moroni Olsen, Purv Pullen, Harry Stockwell, Bill Thompson","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",7.6,177157,1499000,184925486,$ 184925486,95.0,260.0,173.0,19.628246379577703,29.42274132298698,Family,False,False
557,tt0031381,Via col vento,Gone with the Wind,1939,1949,"Drama, History, Romance",238,USA,English,"Victor Fleming, George Cukor","Margaret Mitchell, Sidney Howard",Selznick International Pictures,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,8.1,283975,3977000,200852579,$ 402352579,97.0,881.0,197.0,11.617539643484735,46.20295516213879,Romance,True,True
573,tt0031679,Mr. Smith va a Washington,Mr. Smith Goes to Washington,1939,1947,"Comedy, Drama",129,USA,English,Frank Capra,"Sidney Buchman, Lewis R. Foster",Columbia Pictures,"Jean Arthur, James Stewart, Claude Rains, Edward Arnold, Guy Kibbee, Thomas Mitchell, Eugene Pallette, Beulah Bondi, H.B. Warner, Harry Carey, Astrid Allwyn, Ruth Donnelly, Grant Mitchell, Porter Hall, H.V. Kaltenborn","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",8.1,104547,1900000,144738,$ 144738,73.0,296.0,88.0,12.398913250245599,23.55793517546664,Comedy,True,True
593,tt0032138,Il mago di Oz,The Wizard of Oz,1939,1949,"Adventure, Family, Fantasy",102,USA,English,"Victor Fleming, George Cukor","Noel Langley, Florence Ryerson",Metro-Goldwyn-Mayer (MGM),"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin, Pat Walshe, Clara Blandick, Terry, The Singer Midgets",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,8.0,366293,2777000,24790250,$ 26142032,100.0,688.0,168.0,11.617539643484735,32.261907589957104,Family,True,True
603,tt0032455,Fantasia,Fantasia,1940,1946,"Animation, Family, Fantasy",125,USA,English,"James Algar, Samuel Armstrong","Joe Grant, Dick Huemer",Walt Disney Productions,"Deems Taylor, Leopold Stokowski, The Philadelphia Orchestra",A collection of animated interpretations of great works of Western classical music.,7.8,86795,2280000,76408097,$ 76411401,96.0,342.0,119.0,14.227803044951074,32.439390942488444,Family,False,False
620,tt0032910,Pinocchio,Pinocchio,1940,1947,"Animation, Comedy, Family",88,USA,English,"Norman Ferguson, T. Hee","Carlo Collodi, Ted Sears",Walt Disney Animation Studios,"Mel Blanc, Don Brodie, Stuart Buchanan, Walter Catlett, Marion Darlington, Frankie Darro, Cliff Edwards, Dickie Jones, Charles Judels, John McLeish, Clarence Nash, Patricia Page, Christian Rub, Bill Thompson, Evelyn Venable","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",7.4,127618,2600000,84254167,$ 121892045,99.0,202.0,140.0,12.398913250245599,32.237174450638555,Family,False,False
648,tt0033467,Quarto potere,Citizen Kane,1941,1948,"Drama, Mystery",119,USA,"English, Italian",Orson Welles,"Herman J. Mankiewicz, Orson Welles",RKO Radio Pictures,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins, Erskine Sanford, Everett Sloane, William Alland, Paul Stewart, George Coulouris, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",8.3,389322,839727,1585634,$ 1594107,100.0,1452.0,248.0,11.507251858960956,9.662950081769706,Drama,True,False
671,tt0034167,Il sergente York,Sergeant York,1941,1948,"Biography, Drama, History",134,USA,"English, French, German",Howard Hawks,"Abem Finkel, Harry Chandlee",Warner Bros.,"Gary Cooper, Walter Brennan, Joan Leslie, George Tobias, Stanley Ridges, Margaret Wycherly, Ward Bond, Noah Beery Jr., June Lockhart, Dickie Moore, Clem Bevans, Howard Da Silva, Charles Trowbridge, Harvey Stephens, David Bruce",A marksman is drafted in World War I and ends up becoming one of the most celebrated war heroes.,7.7,15009,1400000,16361885,$ 16364924,,115.0,42.0,11.507251858960956,16.110152602545337,Drama,True,True
