,imdb_title_id,mean_vote
0,tt0000009,5.9
1,tt0000574,6.3
2,tt0001892,6.0
3,tt0002101,5.3
4,tt0002130,6.9
5,tt0002199,5.8
6,tt0002423,6.8
7,tt0002445,6.2
8,tt0002452,7.1
9,tt0002461,5.4
10,tt0002646,6.6
11,tt0002844,6.6
12,tt0003014,7.2
13,tt0003037,6.5
14,tt0003102,6.3
15,tt0003131,6.7
16,tt0003165,6.6
17,tt0003167,6.1
18,tt0003419,6.5
19,tt0003471,6.0
20,tt0003489,6.1
21,tt0003637,6.5
22,tt0003643,6.8
23,tt0003657,6.5
24,tt0003740,6.5
25,tt0003772,6.7
26,tt0003883,7.6
27,tt0003930,6.5
28,tt0003973,6.0
29,tt0004026,5.9
30,tt0004066,6.9
31,tt0004099,5.2
32,tt0004134,6.3
33,tt0004150,6.0
34,tt0004181,7.2
35,tt0004457,5.6
36,tt0004465,7.5
37,tt0004635,6.1
38,tt0004681,6.4
39,tt0004707,7.1
40,tt0004712,6.4
41,tt0004743,5.4
42,tt0004766,5.6
43,tt0004825,6.3
44,tt0004838,5.7
45,tt0004872,5.8
46,tt0004873,6.2
47,tt0004972,6.4
48,tt0005060,6.8
49,tt0005078,6.3
50,tt0005149,6.1
51,tt0005339,6.0
52,tt0005402,6.5
53,tt0005529,6.9
54,tt0005557,6.5
55,tt0005680,5.9
56,tt0005719,5.9
57,tt0005809,7.0
58,tt0005916,6.5
59,tt0005951,7.0
60,tt0005960,6.7
61,tt0006206,6.7
62,tt0006327,6.0
63,tt0006333,6.9
64,tt0006509,6.5
65,tt0006517,6.1
66,tt0006589,7.1
67,tt0006617,6.0
68,tt0006688,6.4
69,tt0006731,6.4
70,tt0006736,6.6
71,tt0006745,6.5
72,tt0006753,6.8
73,tt0006780,6.5
74,tt0006809,6.0
75,tt0006826,6.7
76,tt0006864,7.8
77,tt0006886,6.4
78,tt0007047,6.7
79,tt0007183,6.8
80,tt0007257,6.4
81,tt0007260,6.6
82,tt0007309,5.7
83,tt0007338,6.4
84,tt0007340,6.9
85,tt0007361,5.9
86,tt0007367,6.4
87,tt0007522,6.1
88,tt0007558,6.2
89,tt0007610,5.9
90,tt0007755,5.8
91,tt0007801,5.9
92,tt0007983,6.4
93,tt0008011,6.3
94,tt0008100,6.7
95,tt0008150,6.3
96,tt0008188,6.5
97,tt0008196,6.6
98,tt0008279,6.4
99,tt0008309,6.6
100,tt0008395,6.8
101,tt0008443,6.8
102,tt0008489,6.8
103,tt0008499,7.0
104,tt0008519,6.6
105,tt0008536,6.7
106,tt0008634,6.2
107,tt0008652,6.2
108,tt0008663,7.2
109,tt0008672,6.4
110,tt0008679,7.0
111,tt0008687,6.3
112,tt0008710,6.9
113,tt0008775,6.8
114,tt0008827,6.6
115,tt0008843,6.0
116,tt0008854,5.5
117,tt0008879,6.9
118,tt0008891,6.7
119,tt0008930,6.0
120,tt0008950,6.1
121,tt0009014,6.0
122,tt0009062,6.0
123,tt0009086,6.2
124,tt0009150,6.8
125,tt0009153,6.1
126,tt0009241,6.5
127,tt0009326,6.5
128,tt0009356,6.5
129,tt0009369,7.1
130,tt0009440,6.4
131,tt0009475,6.4
132,tt0009559,6.7
133,tt0009608,7.3
134,tt0009611,6.7
135,tt0009652,7.4
136,tt0009682,5.9
137,tt0009701,6.7
138,tt0009737,6.0
139,tt0009796,6.5
140,tt0009878,6.8
141,tt0009892,7.1
142,tt0009893,6.8
143,tt0009894,7.0
144,tt0009900,6.9
145,tt0009915,7.0
146,tt0009937,6.6
147,tt0009968,7.5
148,tt0009976,6.7
149,tt0010040,7.3
150,tt0010060,6.6
151,tt0010071,7.7
152,tt0010103,6.5
153,tt0010137,7.5
154,tt0010162,8.2
155,tt0010193,6.5
156,tt0010195,7.0
157,tt0010208,5.7
158,tt0010219,6.5
159,tt0010227,6.5
160,tt0010247,6.8
161,tt0010267,6.8
162,tt0010281,7.0
163,tt0010298,6.9
164,tt0010307,7.0
165,tt0010323,7.9
166,tt0010418,7.8
167,tt0010456,6.3
168,tt0010466,5.8
169,tt0010484,7.0
170,tt0010559,6.5
171,tt0010598,6.1
172,tt0010600,7.0
173,tt0010635,6.6
174,tt0010662,6.5
175,tt0010680,5.8
176,tt0010726,6.4
177,tt0010755,6.9
178,tt0010806,7.2
179,tt0010821,6.0
180,tt0010844,6.4
181,tt0010853,6.8
182,tt0010879,7.0
183,tt0010890,6.2
184,tt0010925,6.4
185,tt0010953,6.7
186,tt0010962,6.8
187,tt0010964,8.4
188,tt0010969,6.9
189,tt0011000,6.8
190,tt0011130,7.1
191,tt0011157,6.7
192,tt0011173,6.3
193,tt0011193,6.9
194,tt0011217,6.7
195,tt0011221,6.0
196,tt0011237,7.2
197,tt0011267,5.4
198,tt0011294,7.2
199,tt0011302,6.9
200,tt0011317,6.6
201,tt0011344,6.7
202,tt0011358,6.5
203,tt0011369,8.6
204,tt0011370,7.1
205,tt0011371,6.8
206,tt0011387,6.9
207,tt0011414,6.8
208,tt0011415,6.2
209,tt0011439,7.3
210,tt0011440,6.4
211,tt0011474,6.4
212,tt0011513,6.2
213,tt0011588,6.7
214,tt0011607,7.2
215,tt0011623,8.4
216,tt0011641,6.8
217,tt0011647,6.1
218,tt0011652,6.2
219,tt0011679,6.6
220,tt0011716,7.9
221,tt0011723,6.5
222,tt0011741,6.7
223,tt0011742,6.3
224,tt0011753,5.8
225,tt0011779,6.7
226,tt0011833,6.9
227,tt0011837,6.2
228,tt0011841,7.9
229,tt0011865,7.9
230,tt0011870,6.4
231,tt0011904,7.0
232,tt0011908,6.3
233,tt0011909,7.8
234,tt0011948,6.9
235,tt0011960,7.0
236,tt0011979,6.8
237,tt0012016,8.2
238,tt0012027,6.7
239,tt0012068,7.0
240,tt0012122,5.9
241,tt0012125,7.2
242,tt0012134,6.9
243,tt0012136,7.9
244,tt0012187,6.8
245,tt0012190,7.8
246,tt0012249,7.2
247,tt0012281,6.8
248,tt0012313,6.9
249,tt0012314,6.7
250,tt0012334,6.8
251,tt0012349,8.2
252,tt0012364,7.9
253,tt0012382,6.3
254,tt0012397,7.0
255,tt0012408,6.8
256,tt0012465,7.0
257,tt0012486,6.2
258,tt0012494,7.4
259,tt0012513,6.6
260,tt0012532,7.8
261,tt0012538,6.7
262,tt0012631,6.7
263,tt0012642,7.0
264,tt0012645,6.8
265,tt0012650,6.5
266,tt0012651,6.3
267,tt0012675,7.2
268,tt0012699,6.8
